トッピング情報（id,トッピング名,M金額,L金額)
(1, 'オニオン', 200, 300);
(2, 'ツナマヨ', 200, 300);
(3, 'イタリアントマト', 200, 300);
(4, 'イカ', 200, 300);
(5, 'プルコギ', 200, 300);
(6, 'アンチョビ', 200, 300);
(7, 'エビ', 200, 300);
(8, 'コーン', 200, 300);
(9, 'ピーマン', 200, 300);
(10, 'フレッシュスライストマト', 200, 300);
(11, 'ベーコン', 200, 300);
(12, 'ペパロニ･サラミ', 200, 300);
(13, '熟成ベーコン', 200, 300);
(14, '特製マヨソース', 200, 300);
(15, 'カマンベールチーズ', 200, 300);
(16, 'フレッシュモッツァレラチーズ', 200, 300);
(17, 'イタリアンソーセージ', 200, 300);
(18, 'ガーリックスライス', 200, 300);
(19, 'あらびきスライスソｰセｰジ', 200, 300);
(20, 'ブロッコリー', 200, 300);
(21, 'グリーンアスパラ', 200, 300);
(22, 'パルメザンチーズ', 200, 300);
(23, 'パイナップル', 200, 300);
(24, 'ハラペーニョ', 200, 300);
(25, 'もち', 200, 300);
(26, 'ポテト', 200, 300);
(27, 'ブラックオリーブ', 200, 300);
(28, 'チーズ増量', 200, 300);
